seriesName,startTime,value,endTime
304,2026-02-13T08:00:00Z,0,2026-02-13T08:59:59Z
304,2026-02-13T09:00:00Z,0,2026-02-13T09:59:59Z
304,2026-02-13T10:00:00Z,0,2026-02-13T10:59:59Z
304,2026-02-13T11:00:00Z,0,2026-02-13T11:59:59Z
304,2026-02-13T12:00:00Z,0,2026-02-13T12:59:59Z
304,2026-02-13T13:00:00Z,0,2026-02-13T13:59:59Z
304,2026-02-13T14:00:00Z,0,2026-02-13T14:59:59Z
304,2026-02-13T15:00:00Z,1,2026-02-13T15:59:59Z
304,2026-02-13T16:00:00Z,10,2026-02-13T16:59:59Z
304,2026-02-13T17:00:00Z,0,2026-02-13T17:59:59Z
304,2026-02-13T18:00:00Z,0,2026-02-13T18:59:59Z
304,2026-02-13T19:00:00Z,0,2026-02-13T19:59:59Z
304,2026-02-13T20:00:00Z,0,2026-02-13T20:59:59Z
304,2026-02-13T21:00:00Z,1,2026-02-13T21:59:59Z
304,2026-02-13T22:00:00Z,0,2026-02-13T22:59:59Z
304,2026-02-13T23:00:00Z,0,2026-02-13T23:59:59Z
304,2026-02-14T00:00:00Z,0,2026-02-14T00:59:59Z
304,2026-02-14T01:00:00Z,0,2026-02-14T01:59:59Z
304,2026-02-14T02:00:00Z,0,2026-02-14T02:59:59Z
304,2026-02-14T03:00:00Z,0,2026-02-14T03:59:59Z
304,2026-02-14T04:00:00Z,0,2026-02-14T04:59:59Z
304,2026-02-14T05:00:00Z,0,2026-02-14T05:59:59Z
304,2026-02-14T06:00:00Z,0,2026-02-14T06:59:59Z
304,2026-02-14T07:00:00Z,0,2026-02-14T07:59:59Z
304,2026-02-14T08:00:00Z,0,2026-02-14T08:59:59Z
304,2026-02-14T09:00:00Z,0,2026-02-14T09:59:59Z
304,2026-02-14T10:00:00Z,0,2026-02-14T10:59:59Z
304,2026-02-14T11:00:00Z,0,2026-02-14T11:59:59Z
304,2026-02-14T12:00:00Z,1,2026-02-14T12:59:59Z
304,2026-02-14T13:00:00Z,1,2026-02-14T13:59:59Z
304,2026-02-14T14:00:00Z,0,2026-02-14T14:59:59Z
304,2026-02-14T15:00:00Z,1,2026-02-14T15:59:59Z
304,2026-02-14T16:00:00Z,7,2026-02-14T16:59:59Z
304,2026-02-14T17:00:00Z,0,2026-02-14T17:59:59Z
304,2026-02-14T18:00:00Z,0,2026-02-14T18:59:59Z
304,2026-02-14T19:00:00Z,2,2026-02-14T19:59:59Z
304,2026-02-14T20:00:00Z,0,2026-02-14T20:59:59Z
304,2026-02-14T21:00:00Z,0,2026-02-14T21:59:59Z
304,2026-02-14T22:00:00Z,0,2026-02-14T22:59:59Z
304,2026-02-14T23:00:00Z,0,2026-02-14T23:59:59Z
304,2026-02-15T00:00:00Z,1,2026-02-15T00:59:59Z
304,2026-02-15T01:00:00Z,0,2026-02-15T01:59:59Z
304,2026-02-15T02:00:00Z,0,2026-02-15T02:59:59Z
304,2026-02-15T03:00:00Z,0,2026-02-15T03:59:59Z
304,2026-02-15T04:00:00Z,9,2026-02-15T04:59:59Z
304,2026-02-15T05:00:00Z,6,2026-02-15T05:59:59Z
304,2026-02-15T06:00:00Z,1,2026-02-15T06:59:59Z
304,2026-02-15T07:00:00Z,0,2026-02-15T07:59:59Z
304,2026-02-15T08:00:00Z,1,2026-02-15T08:59:59Z
304,2026-02-15T09:00:00Z,0,2026-02-15T09:59:59Z
304,2026-02-15T10:00:00Z,1,2026-02-15T10:59:59Z
304,2026-02-15T11:00:00Z,0,2026-02-15T11:59:59Z
304,2026-02-15T12:00:00Z,0,2026-02-15T12:59:59Z
304,2026-02-15T13:00:00Z,0,2026-02-15T13:59:59Z
304,2026-02-15T14:00:00Z,0,2026-02-15T14:59:59Z
304,2026-02-15T15:00:00Z,1,2026-02-15T15:59:59Z
304,2026-02-15T16:00:00Z,1,2026-02-15T16:59:59Z
304,2026-02-15T17:00:00Z,0,2026-02-15T17:59:59Z
304,2026-02-15T18:00:00Z,0,2026-02-15T18:59:59Z
